gh_kpmul_kploop_2726,indegree_1,gh_kpmul_kploop_rmisonodes_3296,indegree_8
2.33E-05,184,3.59E-05,184
1.55E-05,185,2.39E-05,185
1.55E-05,186,2.39E-05,186
1.55E-05,187,2.39E-05,187
1.55E-05,188,2.39E-05,188
1.55E-05,189,2.39E-05,189
1.55E-05,190,2.39E-05,190
1.55E-05,191,2.39E-05,191
1.55E-05,192,2.39E-05,192
1.55E-05,193,2.39E-05,193
1.55E-05,194,2.39E-05,194
1.55E-05,195,2.39E-05,195
1.55E-05,196,2.39E-05,196
1.55E-05,197,2.39E-05,197
1.55E-05,198,2.39E-05,198
1.55E-05,199,2.39E-05,199
1.55E-05,200,2.39E-05,200
1.55E-05,201,2.39E-05,201
1.55E-05,202,2.39E-05,202
1.55E-05,203,2.39E-05,203
1.55E-05,204,2.39E-05,204
1.55E-05,205,2.39E-05,205
1.55E-05,206,2.39E-05,206
1.55E-05,207,2.39E-05,207
1.55E-05,208,2.39E-05,208
1.55E-05,209,2.39E-05,209
1.55E-05,210,2.39E-05,210
1.55E-05,211,2.39E-05,211
1.55E-05,212,2.39E-05,212
1.55E-05,213,2.39E-05,213
1.55E-05,214,2.39E-05,214
1.55E-05,215,2.39E-05,215
1.55E-05,216,2.39E-05,216
1.55E-05,217,2.39E-05,217
1.55E-05,218,2.39E-05,218
1.55E-05,219,2.39E-05,219
1.55E-05,220,2.39E-05,220
1.55E-05,221,2.39E-05,221
7.75E-06,222,1.20E-05,222
7.75E-06,223,1.20E-05,223
7.75E-06,224,1.20E-05,224
7.75E-06,225,1.20E-05,225
7.75E-06,226,1.20E-05,226
7.75E-06,227,1.20E-05,227
7.75E-06,228,1.20E-05,228
7.75E-06,229,1.20E-05,229
